row,col,ToT
220,228,176.5234375000001
221,228,193.29414062500004
224,228,169.20572916666677
225,228,176.18503289473696
226,228,161.68088942307702
227,228,159.36523437500006
228,228,168.13194444444454
229,228,189.8899739583334
230,228,158.08802083333345
220,229,169.58426339285722
221,229,163.40122767857142
222,229,182.22412109375006
223,229,194.67307692307705
224,229,198.6235351562501
225,229,164.69942434210526
226,229,167.06966145833348
227,229,160.41477272727286
228,229,176.2604166666668
229,229,176.06640625000003
230,229,167.45312500000006
220,230,176.70256696428575
221,230,172.8191105769231
222,230,173.1399739583334
223,230,185.20312500000003
224,230,218.9449013157897
225,230,168.0516826923078
226,230,168.57356770833343
227,230,199.90234375000009
228,230,162.71763392857153
229,230,169.84191176470594
230,230,160.7328125000001
220,231,178.85416666666666
221,231,166.79987980769235
222,231,207.29895833333342
223,231,171.46946022727283
224,231,163.3350694444446
225,231,150.55078125000006
227,231,155.9614257812501
228,231,173.41979166666678
229,231,193.79427083333348
230,231,151.2708333333334
220,232,172.06093750000014
221,232,177.64204545454552
222,232,155.99644886363643
223,232,160.9188701923078
224,232,163.42057291666669
225,232,2047.1406250000111
226,232,157.27890625000003
227,232,173.0345982142859
228,232,251.6291360294121
229,232,154.42329545454552
230,232,174.68505859375006
221,233,187.50167410714292
222,233,171.71185661764724
223,233,180.28993055555569
224,233,177.21833881578965
226,233,212.88072916666678
227,233,188.22823660714306
228,233,169.17187500000014
229,233,171.94010416666677
230,233,160.73090277777783
220,234,200.0130208333334
221,234,173.31036931818193
222,234,163.6697443181819
223,234,179.50585937500003
224,234,167.6975446428572
225,234,185.50287828947378
226,234,166.3037109375001
227,234,169.31679687500002
228,234,176.69444444444454
229,234,159.24147727272737
230,234,151.5703125
220,235,151.87500000000009
221,235,213.0602022058824
222,235,204.5424107142859
223,235,172.91629464285728
224,235,175.78125000000014
225,235,175.32261029411774
226,235,153.283203125
227,235,152.7890625000001
228,235,182.5502929687501
229,235,166.5094866071429
230,235,158.51201923076937
220,236,160.38832720588238
221,236,190.58522727272742
222,236,168.45312500000009
223,236,168.83398437500003
224,236,153.3197115384616
225,236,167.74724264705884
226,236,180.43055555555563
227,236,153.06184895833343
228,236,199.50873161764707
229,236,184.53492647058823
220,237,151.86875
221,237,159.6570312500001
222,237,171.76128472222234
223,237,164.67187500000006
224,237,168.19687500000003
225,237,163.98263888888903
226,237,198.60364583333353
227,237,161.78059895833334
228,237,189.88486842105274
229,237,176.3671875
230,237,155.62265625000012
220,238,175.05859375000014
222,238,152.51562500000006
223,238,156.44010416666674
224,238,186.54335937500005
225,238,194.39182692307696
226,238,155.7280273437501
227,238,193.86551339285717
228,238,199.0281250000002
229,238,192.27343750000009
230,238,177.40992647058823
