voltage,relative_factor
4.0,0.07024378176725622
3.975,0.14370298997362338
3.95,0.2265529651895812
3.925,0.3199941900664112
3.9,0.4253806127385099
3.875,0.5442392653114221
3.85,0.6782923903084104
3.825,0.8294823956842038
3.8,1.0
3.775,1.1923159755787256
3.75,1.409216949593711
3.725,1.6538457818426893
3.7,1.9297471042745837
3.675,2.2409186821292866
3.65,2.591869340905079
3.625,2.987684298505973
3.6,3.4340988492211695
3.575,3.937581467205489
3.55,4.5054275336167
3.525,5.145865045500593
3.5,5.868173838128598
3.475,6.682820048299859
3.45,7.60160776695938
3.425,8.637850078553916
3.4,9.806561965457842
3.375,11.124677872623213
3.35,12.611297084929744
3.325,14.28796047271299
3.3,16.178962615468294
3.275,18.31170382635189
3.25,20.717087178257422
3.225,23.42996628431043
3.2,26.4896503210477
3.175,29.940473611985066
3.15,33.8324380247464
3.125,38.221937489984555
3.1,43.17257514025431
3.075,48.75608490904706
3.05,55.053370943807906
