voltage,relative_factor
4.0,0.031577133615653036
3.975,0.074253919798239
3.95,0.12161857462131509
3.925,0.17418604108683067
3.9,0.23252782655798143
3.875,0.2972782161205998
3.85,0.3691411684566015
3.825,0.44889796920067243
3.8,0.5374157249865371
3.775,0.6356567905291292
3.75,0.7446892312327947
3.725,0.8656984350737761
3.7,1.0
3.675,1.1490540369585056
3.65,1.3144810440513228
3.625,1.4980795244018126
3.6,1.7018455392708094
3.575,1.927994409001816
3.55,2.178984797725334
3.525,2.4575454436684763
3.5,2.766704825678673
3.475,3.1098240884924
3.45,3.490633584708662
3.425,3.9132734307473154
3.4,4.382338517711762
3.375,4.9029284665090795
3.35,5.480703070333589
3.325,6.12194382727824
3.3,6.833622232049111
3.275,7.6234755692426
3.25,8.500091032200972
3.225,9.472999081976639
3.2,10.552777061392959
3.175,11.751164190681536
3.15,13.08118919491505
3.125,14.557311950786596
3.1,16.195580692702073
3.075,18.01380648731267
3.05,20.03175687335377
