voltage,relative_factor
4.0,0.04247299387793684
3.975,0.08689019952846615
3.95,0.1369855446480381
3.925,0.19348490263093254
3.9,0.2572069399751151
3.875,0.3290749786265072
3.85,0.41013037476364184
3.825,0.5015476078791382
3.8,0.6046512987963216
3.775,0.7209354032092796
3.75,0.8520848588576277
3.725,1.0
3.7,1.1668240929480675
3.675,1.3549743916464145
3.65,1.567177163288622
3.625,1.8065071914850135
3.6,2.0764323293765337
3.575,2.3808637482621244
3.55,2.7242126098340456
3.525,3.111453983192526
3.5,3.548198932787052
3.475,4.040775821826606
3.45,4.596322009232195
3.425,5.2228872688055334
3.4,5.929550429140692
3.375,6.726550924372326
3.35,7.6254371619090335
3.325,8.639233856976414
3.3,9.782630758620037
3.275,11.072195501777244
3.25,12.526613669609972
3.225,14.166959544562328
3.2,16.01700147128189
3.175,18.103546256063765
3.15,20.45682759310897
3.125,23.110944145830977
3.1,26.104353630936554
3.075,29.48043006447904
3.05,33.28809224428912
